language,model,annotation.topic,annotation.persona,annotation.authenticity
Dutch,gpt-3.5-turbo,4.862745098039215,3.6862745098039214,2.803921568627451
Dutch,Mistral-7B-Instruct,4.775510204081633,3.3877551020408165,2.2857142857142856
English,gpt-3.5-turbo,4.884615384615385,4.673076923076923,3.980769230769231
English,Mistral-7B-Instruct,4.979166666666667,4.479166666666667,4.354166666666667
German,gpt-3.5-turbo,4.5,4.06,4.1
German,Mistral-7B-Instruct,4.82,4.0,4.14
