persona,model,annotation.topic,annotation.persona,annotation.authenticity
alt_right,gpt-3.5-turbo,4.5227272727272725,3.772727272727273,3.2954545454545454
alt_right,Mistral-7B-Instruct,4.913043478260869,4.086956521739131,3.891304347826087
conservative,gpt-3.5-turbo,4.864406779661017,3.983050847457627,3.6610169491525424
conservative,Mistral-7B-Instruct,4.903846153846154,3.519230769230769,3.3461538461538463
liberal,gpt-3.5-turbo,4.82,4.66,3.88
liberal,Mistral-7B-Instruct,4.755102040816326,4.285714285714286,3.5714285714285716
